datetime,tempmax,Forecast
2022-11-05,23.0,22.98464847686987
2022-11-06,19.5,20.14230552977328
2022-11-07,20.4,20.967608385770642
2022-11-08,20.5,20.8747528945709
2022-11-09,20.5,20.666730564165867
2022-11-10,20.4,20.569672314658593
2022-11-11,20.7,20.819459408863455
2022-11-12,16.3,17.147020826245807
2022-11-13,19.5,19.566175407567957
2022-11-14,18.9,19.12022201892314
2022-11-15,18.4,18.9039112854619
2022-11-16,21.5,21.46947152634462
2022-11-17,21.6,21.444021304531063
2022-11-18,23.0,22.384430745628787
2022-11-19,25.5,24.24611528471895
2022-11-20,22.0,21.67889555282948
2022-11-21,21.5,21.496987861352263
2022-11-22,20.0,20.362808895968428
2022-11-23,19.4,19.960376962754438
2022-11-24,19.0,19.297540968089614
2022-11-25,16.5,17.07715272673966
2022-11-26,15.5,16.292775828773266
2022-11-27,15.2,16.017922933232402
2022-11-28,14.1,15.026457083110348
2022-11-29,13.6,14.287188206154209
2022-11-30,13.3,14.017701844317099
2022-12-01,19.5,19.01340209829407
2022-12-02,17.8,17.677040851727615
2022-12-03,19.0,18.453319507374143
2022-12-04,16.3,16.142230380018557
2022-12-05,15.9,15.841576489007995
2022-12-06,15.7,15.649337795112656
2022-12-07,17.4,17.06251671849478
2022-12-08,18.7,17.954983467690806
2022-12-09,19.6,18.52145220574025
2022-12-10,19.0,18.150265445159
2022-12-11,20.4,19.313634120808672
2022-12-12,18.9,18.266160483364416
2022-12-13,17.3,16.928123435044675
2022-12-14,14.4,14.671263550443605
2022-12-15,21.1,20.1876863745941
2022-12-16,21.8,20.934807941536395
2022-12-17,21.0,20.33523783096486
2022-12-18,19.5,19.093676833855252
2022-12-19,14.5,14.99235054908723
2022-12-20,11.2,12.167956232899192
2022-12-21,12.4,13.232324931750835
2022-12-22,13.4,14.06400793437871
2022-12-23,15.0,15.430171967981888
2022-12-24,16.1,16.05661197334086
2022-12-25,18.0,17.45423795360139
2022-12-26,17.6,17.31691834859773
2022-12-27,18.5,18.13415578510917
2022-12-28,17.3,17.263180266635043
